id,nombre,descripcion,categoria,imagen,kg,cincoKg,diezKg,veinticincoKg,treintaKg
80,Pimienta Negra Molida,,Condimentos,/assets/pimienta-negra.jpg,12880,,,,
81,Pimienta Blanca Molida,,Condimentos,/assets/pimienta-blanca.jpg,15985,15410,,,
82,Ajo En Polvo,,Condimentos,/assets/ajo-polvo.jpg,7820,7130,,,
83,Aji Puro,,Condimentos,/assets/aji-puro.jpg,7360,6900,,,
84,Jengibre En Polvo,,Condimentos,/assets/jengibre.jpg,8395,7935,,,
85,Chimichurri,,Condimentos,/assets/chimichurri.jpg,5060,4577,,,
86,Nuez Moscada Molida,,Condimentos,/assets/nuez-moscada.jpg,11385,10580,,,
87,Comino,,Condimentos,/assets/comino.jpg,3335,,,,
88,Curcuma,,Condimentos,/assets/curcuma.jpg,3335,,,,
89,Anis En Grano,,Condimentos,/assets/anis.jpg,17135,,,,
90,Paprika,,Condimentos,/assets/paprika.jpg,7360,7130,,,
91,Canela En Polvo,,Condimentos,/assets/canela.jpg,10580,10005,,,
92,Curry,,Condimentos,/assets/curry.jpg,6785,6440,,,
93,Ajo Triturado,,Condimentos,/assets/ajo-triturado.jpg,11040,10580,,,
94,Azucar Impalpable,,Azucares,/assets/azucar-impalpable.jpg,2185,1955,1725,,
95,Azucar Negra,,Azucares,/assets/azucar-negra.jpg,2185,1955,1725,,
96,Azucar Rubia,,Azucares,/assets/azucar-rubia.jpg,2185,1955,1725,,
97,Azucar Mascabo,,Azucares,/assets/azucar-mascabo.jpg,4600,3910,3450,,
98,Harina Integral,,Harinas,/assets/harina-integral.jpg,1035,4370,,18285,
99,Harina Paraguaya,,Harinas,/assets/harina-paraguaya.jpg,1380,5750,,,
100,Harina De Soja,,Harinas,/assets/harina-soja.jpg,1138,5060,,,
101,Harina De Arroz,,Harinas,/assets/harina-arroz.jpg,1725,7935,,,
102,Harina Glutinada,,Harinas,/assets/harina-glutinada.jpg,862,,,,
103,Harina De Garbanzo,,Harinas,/assets/harina-garbanzo.jpg,1035,4600,,20125,
104,Harina De Centeno,,Harinas,/assets/harina-centeno.jpg,1610,6325,,,
105,Harina De Almendras,,Harinas,/assets/harina-almendras.jpg,4830,4600,,4140,
106,Harina De Coco,,Harinas,/assets/harina-coco.jpg,4715,4485,,,
107,Harina De Avena,,Harinas,/assets/harina-avena.jpg,2300,9200,,,
108,Soja Texturizada,,Harinas,/assets/soja-texturizada.jpg,2530,9775,,,
109,Salvado De Trigo Fino/Grueso,,Harinas,/assets/salvado-trigo.jpg,1495,,,,
110,Semola,,Harinas,/assets/semola.jpg,1725,8050,,,
111,Semolin,,Harinas,/assets/semolin.jpg,1725,6210,,,
112,Maizena,,Harinas,/assets/maizena.jpg,2300,9430,,,44850
113,Mandioca,,Harinas,/assets/mandioca.jpg,2760,11500,,,51750
114,Cascarilla,,Harinas,/assets/cascarilla.jpg,5635,,,,
115,Semilla Amapola,,Semillas,/assets/semilla-amapola.jpg,15525,,,,
116,Semilla Zapallo,,Semillas,/assets/semilla-zapallo.jpg,14375,13800,,,
117,Semilla De Sesamo Blanco,,Semillas,/assets/sesamo-blanco.jpg,8510,,,35650,
118,Semilla De Sesamo Integral,,Semillas,/assets/sesamo-integral.jpg,4140,,,18975,
119,Semilla De Sesamo Negro,,Semillas,/assets/sesamo-negro.jpg,7935,,,37375,
120,Semilla De Chia,,Semillas,/assets/chia.jpg,7820,,,35650,
121,Semilla De Quinoa,,Semillas,/assets/quinoa.jpg,10580,,,48300,
122,Semilla De Lino,,Semillas,/assets/lino.jpg,2300,10580,,,
123,Girasol Pelado,,Semillas,/assets/girasol.jpg,4370,18400,,,
124,Mix De Semillas,"Girasol, lino, sesamo integral, chia",Semillas,/assets/mix-semillas.jpg,3910,17250,,69000,
125,Barritas Proteicas Iron Bar,"Chocolate, banana, cookies, frutilla, ddl, coco — Caja x20 uni",Suplementos,/assets/iron-bar.jpg,920,,,,
126,Colageno Hidrolizado,,Suplementos,/assets/colageno.jpg,920,805,,,
127,Harina De Coca,,Suplementos,/assets/harina-coca.jpg,920,805,,,
128,Cartilago De Tiburon,,Suplementos,/assets/cartilago-tiburon.jpg,920,805,,,
129,Maca En Polvo,x 500 gramos,Suplementos,/assets/maca.jpg,2185,1955,,,
130,Aceite De Cannabis,30 ml,Suplementos,/assets/aceite-cannabis.jpg,7935,7475,,,
131,Flor De Jamaica (Hibiscus),,Suplementos,/assets/flor-jamaica.jpg,20470,18630,,,
132,Aceite De Coco,x360ml,Aceites,/assets/aceite-coco.jpg,6325,5980,5405,,
133,Aceite De Oliva x 2LT,,Aceites,/assets/aceite-oliva.jpg,9660,8970,8280,,
134,Aceite De Oliva x 1/2 Vidrio,,Aceites,/assets/aceite-oliva.jpg,5290,4830,,,
135,Aceite De Oregano,x30cc — Bio Nativa,Aceites,/assets/aceite-oregano.jpg,7360,6785,,,
136,Aceite De Chia,x250cc — Bio Nativa,Aceites,/assets/aceite-chia.jpg,9430,8970,,,
137,Aceite De Lino,x250cc — Bio Nativa,Aceites,/assets/aceite-lino.jpg,6670,6210,,,
138,Aceite De Almendra,x250cc — Bio Nativa,Aceites,/assets/aceite-almendra.jpg,8625,8280,,,
139,Aceite De Jojoba,x100cc — Bio Nativa,Aceites,/assets/aceite-jojoba.jpg,6785,6325,,,
140,Aceite De Ricino,x100cc — Bio Nativa,Aceites,/assets/aceite-ricino.jpg,5635,5175,,,
141,Aceite De Palta,x250cc — Bio Nativa,Aceites,/assets/aceite-palta.jpg,12075,11270,,,
142,Aceite De Coco Virgen,x360cc — Bio Nativa,Aceites,/assets/aceite-coco.jpg,9890,,,,
143,Aceite De Romero,x30cc — Bio Nativa,Aceites,/assets/aceite-romero.jpg,7130,,,,
144,Aceite De Rosa Mosqueta,x30cc — Bio Nativa,Aceites,/assets/aceite-rosa-mosqueta.jpg,9430,8970,,,
145,Aceite De Sesamo,x250cc — Bio Nativa,Aceites,/assets/aceite-sesamo.jpg,6555,6210,,,
146,Miel Pura X 1KG,,Otros,/assets/Miel Pura X 1KG.jfif,4025,,,,
